Cluster,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Sugars (g),Protein (g),Caffeine (mg),Cluster
1,12.25,0.05,0.0,0.0,0.0,12.5,1.75,0.0,0.875,278.75,1.0
2,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,1.0,410.0,2.0
3,130.0,1.9733333333333334,0.7133333333333333,0.02666666666666667,5.0,64.66666666666667,23.6,22.066666666666666,5.133333333333334,7.0,3.0
4,101.66666666666667,0.9333333333333335,0.20000000000000004,0.0,1.6666666666666667,133.33333333333334,17.666666666666668,16.333333333333332,6.0,71.66666666666667,4.0
5,63.75,1.3,0.36250000000000004,0.0125,3.75,65.625,7.625,6.25,5.125,75.0,5.0
6,112.94117647058823,2.3117647058823527,0.9470588235294118,0.0411764705882353,6.764705882352941,65.88235294117646,18.294117647058822,16.352941176470587,5.176470588235294,74.91539081385979,6.0
7,3.6666666666666665,0.011111111111111112,0.0,0.0,0.0,2.3333333333333335,0.6666666666666666,0.0,0.34444444444444444,109.23135464231353,7.0
8,95.0,0.5928571428571429,0.17857142857142858,0.0071428571428571435,1.4285714285714286,21.714285714285715,21.0,20.785714285714285,1.5999999999999999,96.8688845401174,8.0
9,93.33333333333333,0.06666666666666667,0.0,0.0,0.0,3.3333333333333335,22.333333333333332,22.333333333333332,0.2333333333333333,190.0,9.0
10,175.0,0.9,0.325,0.025,2.5,37.5,38.75,38.5,2.775,138.63013698630138,10.0
11,455.0,9.666666666666666,6.083333333333333,0.06666666666666667,11.666666666666666,323.3333333333333,82.16666666666667,76.66666666666667,12.333333333333334,147.5,11.0
12,338.0,3.02,1.58,0.04,6.5,299.0,73.5,70.8,5.7,133.0,12.0
13,388.3333333333333,7.583333333333333,3.8000000000000003,0.08333333333333333,14.166666666666666,220.0,64.5,61.166666666666664,15.333333333333334,130.0,13.0
14,166.66666666666666,1.9416666666666667,0.9666666666666667,0.041666666666666664,4.583333333333333,167.08333333333334,34.5,33.166666666666664,3.5833333333333335,76.25,14.0
15,164.16666666666666,2.5500000000000003,0.75,0.016666666666666666,4.583333333333333,90.41666666666667,28.75,26.083333333333332,7.25,80.71347031963471,15.0
16,203.33333333333334,3.9499999999999997,1.8833333333333335,0.06666666666666667,10.833333333333334,112.91666666666667,34.75,32.5,7.833333333333333,85.29680365296804,16.0
17,120.0,2.6666666666666665,0.7888888888888889,0.03333333333333334,6.666666666666667,119.44444444444444,14.0,11.333333333333334,9.666666666666666,150.0,17.0
18,204.28571428571428,3.042857142857143,0.9428571428571428,0.0,3.5714285714285716,126.42857142857143,36.285714285714285,31.0,9.714285714285714,154.28571428571428,18.0
19,190.0,4.74,1.9,0.1,17.0,190.0,21.6,18.8,14.4,150.0,19.0
20,285.0,4.0375,1.675,0.025,6.25,151.25,51.625,46.625,11.875,94.94006849315069,20.0
21,320.0,9.333333333333334,5.0,0.2333333333333333,33.333333333333336,186.66666666666666,47.333333333333336,42.333333333333336,15.0,160.0,21.0
22,258.8888888888889,5.366666666666666,2.1888888888888887,0.06666666666666668,12.222222222222221,154.44444444444446,42.111111111111114,36.44444444444444,13.0,159.44444444444446,22.0
23,287.77777777777777,3.288888888888889,1.9222222222222223,0.03333333333333334,3.3333333333333335,228.88888888888889,62.0,58.77777777777778,4.0,106.66666666666667,23.0
24,190.0,0.4000000000000001,0.2333333333333333,0.0,5.0,273.3333333333333,41.333333333333336,39.333333333333336,5.333333333333333,123.33333333333333,24.0
25,225.71428571428572,2.942857142857143,1.9000000000000001,0.028571428571428574,2.857142857142857,198.57142857142858,47.42857142857143,45.142857142857146,3.7142857142857144,84.28571428571429,25.0
26,326.6666666666667,3.0345781466113415,1.1666666666666667,0.06666666666666667,6.666666666666667,256.6666666666667,69.0,67.0,5.666666666666667,0.0,26.0
27,346.6666666666667,9.333333333333334,5.333333333333333,0.19999999999999998,28.333333333333332,193.33333333333334,55.333333333333336,51.0,14.0,61.666666666666664,27.0
28,242.5,1.575,0.6,0.025,3.75,197.5,53.25,52.0,4.0,0.0,28.0
29,290.90909090909093,3.590909090909091,1.4909090909090907,0.02727272727272728,7.7272727272727275,140.45454545454547,54.81818181818182,39.72727272727273,16.454545454545453,11.818181818181818,29.0
30,283.3333333333333,0.0,0.0,0.0,0.0,20.0,70.66666666666667,65.66666666666667,0.0,0.0,30.0
31,235.71428571428572,4.628571428571428,1.8857142857142857,0.08571428571428573,10.714285714285714,126.42857142857143,40.42857142857143,36.714285714285715,10.714285714285714,33.57142857142857,31.0
32,185.0,2.1666666666666665,0.7666666666666666,0.025000000000000005,3.75,130.41666666666666,36.5,34.583333333333336,5.416666666666667,3.3333333333333335,32.0
